number,identification,species,latitude,longitude,fuste,height,dap,cap,biological,anthropic
1,37947,paineira,-7.13523611111111,-34.84585833333330,2.58000000000000,6.31000000000000,0.12382254572550,0.38900000000000,0,0
2,38256,paineira,-7.13507222222222,-34.84589444444450,1.89000000000000,5.01000000000000,0.09867606471698,0.31000000000000,0,0
3,38235,paineira,-7.13512777777778,-34.84589166666670,2.30000000000000,4.50000000000000,0.05092958178941,0.16000000000000,0,0
4,38237,paineira,-7.13505833333333,-34.84592222222220,2.71000000000000,5.21000000000000,0.09963099437553,0.31300000000000,1,0
5,38253,paineira,-7.13498611111111,-34.84593611111110,1.73000000000000,6.51000000000000,0.12477747538405,0.39200000000000,0,0
6,38238,paineira,-7.13494166666667,-34.84600000000000,1.53000000000000,6.01000000000000,0.12382254572550,0.38900000000000,0,0
7,37601,paineira,-7.13493888888889,-34.84594166666670,1.99000000000000,2.90000000000000,0.03151267873220,0.09900000000000,0,0
8,38236,paineira,-7.13492500000000,-34.84598055555560,2.40000000000000,6.31000000000000,0.14069296969324,0.44200000000000,0,0
9,38255,paineira,-7.13487777777778,-34.84605000000000,1.50000000000000,6.61000000000000,0.16552114081557,0.52000000000000,0,1
10,37602,paineira,-7.13486388888889,-34.84602777777780,1.54000000000000,5.51000000000000,0.13782818071758,0.43300000000000,0,0
11,37604,Ipê,-7.13500833333333,-34.84596388888890,0.29000000000000,1.18000000000000,0.02037183271576,0.06400000000000,0,1
12,37876,Ipê,-7.13497222222222,-34.84581666666670,0.18200000000000,2.71000000000000,0.05793239928545,0.18200000000000,1,1
13,37589,Ipê,-7.13493333333333,-34.84575277777780,0.20000000000000,0.86000000000000,0.01846197339866,0.05800000000000,1,1
14,37883,Ipê,-7.13495555555556,-34.84570555555560,0.00000000000000,0.69000000000000,0.01878028328484,0.05900000000000,0,2
15,38254,Ipê,-7.13493055555556,-34.84564722222220,0.17500000000000,0.87000000000000,0.01623380419537,0.05100000000000,1,0
16,37885,,-7.13466944444444,-34.84511111111110,1.10000000000000,6.06000000000000,0.10249578335118,0.32200000000000,0,0
17,37880,paineira,-7.13497500000000,-34.84492777777780,2.35000000000000,6.46000000000000,0.15310705525440,0.48100000000000,0,0
18,37881,paineira,-7.13501944444445,-34.84492222222220,2.72000000000000,7.06000000000000,0.17825353626292,0.56000000000000,0,0
19,37878,paineira,-7.13500555555556,-34.84491388888890,2.15000000000000,7.06000000000000,0.17825353626292,0.56000000000000,0,0
20,37884,paineira,-7.13508333333333,-34.84500277777780,2.45000000000000,4.91000000000000,0.08021409131832,0.25200000000000,0,0
21,37886,paineira,-7.13514166666667,-34.84530277777780,2.15000000000000,8.26000000000000,0.22440846975957,0.70500000000000,0,0
22,37879,paineira,-7.13542222222222,-34.84550000000000,0.00000000000000,3.65000000000000,0.13496339174193,0.42400000000000,0,2
23,37875,Pau ferro,-7.13539166666667,-34.84548611111110,1.05000000000000,3.25000000000000,0.06047887837492,0.19000000000000,0,2
24,37882,Pau ferro,-7.13533611111111,-34.84538888888890,0.90000000000000,3.85000000000000,0.04774648292757,0.15000000000000,0,2
25,37899,Pau ferro,-7.13540555555556,-34.84534444444450,1.23000000000000,2.80000000000000,0.04169859509008,0.13100000000000,0,1
26,37858,Pau ferro,-7.13537777777778,-34.84530833333330,0.60000000000000,1.85000000000000,0.03087605895983,0.09700000000000,0,1
27,37900,Pau ferro,-7.13533055555556,-34.84527500000000,0.66000000000000,1.50000000000000,0.01750704374011,0.05500000000000,0,1
28,37897,Pau ferro,-7.13524444444445,-34.84517222222220,1.02000000000000,1.36000000000000,0.01432394487827,0.04500000000000,0,1
29,37898,Pau ferro,-7.13529444444445,-34.84512222222220,0.87000000000000,1.95000000000000,0.03405915782167,0.10700000000000,0,1
30,37859,Pau ferro,-7.13531388888889,-34.84510555555560,0.85000000000000,1.86000000000000,0.02196338214668,0.06900000000000,0,0
31,37860,Pau ferro,-7.13526111111111,-34.84509166666670,1.16000000000000,2.45000000000000,0.03342253804930,0.10500000000000,0,1
32,37894,Pau ferro,-7.13526944444445,-34.84494444444440,1.00000000000000,2.80000000000000,0.04360845440718,0.13700000000000,0,1
33,37857,Pau papagaio,-7.13523333333333,-34.84492500000000,1.14000000000000,3.95000000000000,0.07257465404990,0.22800000000000,0,1
34,37896,Ipê,-7.13533611111111,-34.84467500000000,0.39000000000000,1.50000000000000,0.02323662169142,0.07300000000000,1,0
35,37895,paineira,-7.13457500000000,-34.84488055555560,1.59000000000000,5.36000000000000,0.06811831564333,0.21400000000000,0,0
36,37950,paineira,-7.13443611111111,-34.84498888888890,1.64000000000000,3.21000000000000,0.02514648100852,0.07900000000000,0,0
37,37877,,-7.13441388888889,-34.84504444444450,0.82000000000000,1.12000000000000,0.01209577567498,0.03800000000000,0,0
38,37603,,-7.13437222222222,-34.84512222222220,0.35000000000000,1.30000000000000,0.01400563499209,0.04400000000000,0,0
39,37590,,-7.13433888888889,-34.84513333333330,0.35000000000000,0.71000000000000,0.01018591635788,0.03200000000000,0,0
40,37948,,-7.13427500000000,-34.84515555555560,0.60000000000000,0.74000000000000,0.00954929658551,0.03000000000000,0,0
41,37949,,-7.13415833333333,-34.84517500000000,1.20000000000000,1.62000000000000,0.01050422624407,0.03300000000000,0,0
42,37892,,-7.13393611111111,-34.84527222222220,0.00000000000000,0.28000000000000,0.01909859317103,0.06000000000000,0,2
43,37890,paineira,-7.13390277777778,-34.84525833333330,1.47000000000000,2.50000000000000,0.02641972055325,0.08300000000000,0,0
44,37888,,-7.13383888888889,-34.84520277777780,1.23000000000000,1.90000000000000,0.02546479089470,0.08000000000000,0,0
45,37889,,-7.13369722222222,-34.84507222222220,0.62000000000000,1.00000000000000,0.01018591635788,0.03200000000000,0,0
46,37893,,-7.13383333333333,-34.84506666666670,0.80000000000000,2.90000000000000,0.06302535746439,0.19800000000000,0,0
47,37891,,-7.13387777777778,-34.84510000000000,0.47000000000000,2.85000000000000,0.08116902097687,0.25500000000000,0,0
48,37887,,-7.13393333333333,-34.84510000000000,0.62000000000000,2.85000000000000,0.07480282325319,0.23500000000000,0,0
49,38270,,-7.13422222222222,-34.84515833333330,1.52000000000000,3.45000000000000,0.03119436884601,0.09800000000000,0,0
50,37902,,-7.13377777777778,-34.84505555555560,0.76000000000000,2.55000000000000,0.06684507609860,0.21000000000000,0,0
51,37904,,-7.13380555555556,-34.84497222222220,0.67000000000000,3.36000000000000,0.08467042972489,0.26600000000000,0,0
52,37909,,-7.13391666666667,-34.84494444444440,0.55000000000000,4.46000000000000,0.12414085561168,0.39000000000000,0,0
53,37910,,-7.13391666666667,-34.84494444444440,0.82000000000000,4.41000000000000,0.13782818071758,0.43300000000000,0,0
54,37906,,-7.13397222222222,-34.84488888888890,0.58000000000000,2.30000000000000,0.07321127382227,0.23000000000000,1,0
55,37907,,-7.13400000000000,-34.84497222222220,1.68000000000000,2.45000000000000,0.02037183271576,0.06400000000000,2,0
56,37903,,-7.13387777777778,-34.84501111111110,0.32000000000000,2.70000000000000,0.03819718634205,0.12000000000000,0,0
57,37905,,-7.13383333333333,-34.84488888888890,0.67000000000000,0.77000000000000,0.01050422624407,0.03300000000000,0,2
58,37908,,-7.13388888888889,-34.84480555555560,0.00000000000000,0.53000000000000,0.03565070725258,0.11200000000000,0,3
59,37901,,-7.13397222222222,-34.84477777777780,0.92000000000000,1.65000000000000,0.03087605895983,0.09700000000000,0,3
60,37959,,-7.13408333333333,-34.84497222222220,1.32000000000000,1.86000000000000,0.01050422624407,0.03300000000000,3,3
61,37955,,-7.13405555555556,-34.84494444444440,1.16000000000000,2.40000000000000,0.04838310269994,0.15200000000000,0,0
62,37960,,-7.13402777777778,-34.84483333333330,0.66000000000000,2.57000000000000,0.04838310269994,0.15200000000000,0,0
63,37963,,-7.13405555555556,-34.84477777777780,1.62000000000000,1.89000000000000,0.01687042396774,0.05300000000000,0,0
64,37957,,-7.13408333333333,-34.84486111111110,1.40000000000000,3.15000000000000,0.01432394487827,0.04500000000000,1,0
65,37954,,-7.13408333333333,-34.84486111111110,0.00000000000000,2.70000000000000,0.08530704949726,0.26800000000000,0,0
66,37956,,-7.13411111111111,-34.84491666666670,0.38000000000000,0.52000000000000,0.00254647908947,0.00800000000000,0,0
67,37952,,-7.13413888888889,-34.84494444444440,1.50000000000000,4.87000000000000,0.09135493733475,0.28700000000000,0,1
68,37951,,-7.13416666666667,-34.84491666666670,0.00000000000000,1.18000000000000,0.00445633840657,0.01400000000000,4,4
69,38248,,-7.13421388888889,-34.84490833333330,2.45000000000000,5.65000000000000,0.06270704757821,0.19700000000000,0,1
70,37952,,-7.13407222222222,-34.84486388888890,1.12000000000000,1.77000000000000,0.02228169203287,0.07000000000000,0,0
71,38257,,-7.13402222222222,-34.84479166666670,0.27000000000000,1.58000000000000,0.00318309886184,0.01000000000000,0,0
72,38259,,-7.13429722222222,-34.84493333333330,0.45000000000000,0.98000000000000,0.01336901521972,0.04200000000000,0,0
73,38261,,-7.13433055555556,-34.84488333333330,1.80000000000000,6.15000000000000,0.07352958370846,0.23100000000000,0,0
74,38260,,-7.13438888888889,-34.84474722222220,1.30000000000000,2.70000000000000,0.02705634032562,0.08500000000000,0,0
75,38250,,-7.13438888888889,-34.84474722222220,1.00000000000000,2.20000000000000,0.00190985931710,0.00600000000000,0,0
76,38262,Camuzé,-7.13434166666667,-34.84486388888890,2.15000000000000,5.30000000000000,0.07161972439135,0.22500000000000,0,1
77,38263,,-7.13450000000000,-34.84471111111110,2.00000000000000,4.60000000000000,0.04774648292757,0.15000000000000,0,1
78,38266,,-7.13450277777778,-34.84733611111110,1.35000000000000,2.00000000000000,0.01973521294340,0.06200000000000,0,0
79,38268,,-7.13446666666667,-34.84466944444450,1.25000000000000,2.15000000000000,0.02196338214668,0.06900000000000,0,0
80,38265,Camuzé,-7.13448611111111,-34.84461388888890,1.40000000000000,5.65000000000000,0.07703099245648,0.24200000000000,0,0
81,38264,Camuzé,-7.13455277777778,-34.84441944444450,1.47000000000000,3.35000000000000,0.03819718634205,0.12000000000000,1,0
82,38267,Camuzé,-7.13458611111111,-34.84431111111110,1.75000000000000,6.45000000000000,0.05570423008216,0.17500000000000,0,0
83,38258,,-7.13455833333333,-34.84436666666670,0.70000000000000,2.25000000000000,0.02705634032562,0.08500000000000,0,0
84,38243,,-7.13457500000000,-34.84436666666670,0.75000000000000,2.00000000000000,0.02387324146378,0.07500000000000,0,0
85,38240,Camuzé,-7.13467222222222,-34.84733333333330,1.72000000000000,3.35000000000000,0.04233521486244,0.13300000000000,0,0
86,38249,Camuzé,-7.13486944444445,-34.84452500000000,1.65000000000000,5.25000000000000,0.06334366735057,0.19900000000000,0,0
87,38242,Camuzé,-7.13494444444445,-34.84452777777780,1.43000000000000,6.25000000000000,0.07480282325319,0.23500000000000,0,0
88,34347,paineira,-7.13476111111111,-34.84420555555560,2.22000000000000,4.80000000000000,0.09517465596895,0.29900000000000,0,0
89,34349,paineira,-7.13461666666667,-34.84400555555560,2.27000000000000,4.75000000000000,0.07671268257029,0.24100000000000,0,0
90,34348,paineira,-7.13457777777778,-34.84394444444440,2.23000000000000,3.80000000000000,0.09008169779001,0.28300000000000,0,0
91,37964,paineira,-7.13454166666667,-34.84388333333330,2.10000000000000,5.05000000000000,0.10058592403408,0.31600000000000,0,0
92,38241,paineira,-7.13452500000000,-34.84384166666670,2.10000000000000,4.75000000000000,0.07862254188740,0.24700000000000,0,0
93,37958,paineira,-7.13451388888889,-34.84375000000000,2.00000000000000,3.65000000000000,0.05761408939927,0.18100000000000,0,0
94,38246,paineira,-7.13447500000000,-34.84370833333330,2.26000000000000,5.05000000000000,0.08753521870054,0.27500000000000,0,0
95,38245,paineira,-7.13441666666667,-34.84367500000000,2.20000000000000,4.55000000000000,0.09135493733475,0.28700000000000,0,0
96,38244,paineira,-7.13417500000000,-34.84363055555560,2.10000000000000,5.35000000000000,0.12254930618076,0.38500000000000,0,0
97,38247,paineira,-7.13431666666667,-34.84358888888890,1.86000000000000,4.95000000000000,0.12063944686366,0.37900000000000,0,0
98,37953,paineira,-7.13426944444444,-34.84355555555560,1.46000000000000,8.15000000000000,0.16965916933596,0.53300000000000,0,0
99,38252,paineira,-7.13421666666667,-34.84352222222220,1.60000000000000,5.05000000000000,0.11713803811564,0.36800000000000,0,0
100,38251,paineira,-7.13412500000000,-34.84349722222220,1.63000000000000,5.25000000000000,0.13432677196956,0.42200000000000,0,0
101,37961,paineira,-7.13401666666667,-34.84348055555560,1.97000000000000,5.85000000000000,0.13050705333535,0.41000000000000,0,0
102,38239,paineira,-7.13395833333333,-34.84346944444440,2.05000000000000,5.05000000000000,0.12000282709129,0.37700000000000,0,0
103,34353,,-7.13542222222222,-34.84449444444450,4.60000000000000,6.15000000000000,0.05634084985453,0.17700000000000,0,0
104,34361,Ipê,-7.13474722222222,-34.84433888888890,1.13000000000000,2.10000000000000,0.03501408748022,0.11000000000000,0,0
105,34358,,-7.13483055555556,-34.84393055555560,1.45000000000000,9.15000000000000,0.08276057040779,0.26000000000000,0,0
106,34359,,-7.13487222222222,-34.84390555555560,1.70000000000000,4.65000000000000,0.05156620156177,0.16200000000000,0,0
107,34356,,-7.13483333333333,-34.84364444444440,1.76000000000000,5.65000000000000,0.05411268065124,0.17000000000000,0,1
108,34355,B,-7.13491666666667,-34.84357777777780,0.84000000000000,4.65000000000000,0.07321127382227,0.23000000000000,1,0
109,34360,B,-7.13467500000000,-34.84352777777780,0.80000000000000,4.05000000000000,0.05029296201704,0.15800000000000,1,0
110,34357,C,-7.13441666666667,-34.84338888888890,1.21000000000000,7.75000000000000,0.13814649060377,0.43400000000000,0,0
111,34354,C,-7.13448333333333,-34.84348055555560,0.20000000000000,5.80000000000000,0.09708451528606,0.30500000000000,0,0
112,34327,C,-7.13436111111111,-34.84351666666670,0.26000000000000,6.15000000000000,0.09899437460316,0.31100000000000,0,0
113,34325,C,-7.13434166666667,-34.84349166666670,0.15000000000000,3.35000000000000,0.10504226244065,0.33000000000000,4,4
114,34351,C,-7.13433611111111,-34.84352222222220,0.10000000000000,3.15000000000000,0.07480282325319,0.23500000000000,0,0
115,,O,-7.13432777777778,-34.84353333333330,2.23000000000000,6.25000000000000,0.08976338790383,0.28200000000000,0,0
116,34363,C,-7.13333333333333,-34.83333333333330,,,0.00000000000000,,0,0
117,34328,paineira,-7.13438333333333,-34.84352777777780,1.92000000000000,8.15000000000000,0.00000000000000,,0,1
118,,paineira,-7.13425555555556,-34.84347222222220,2.94000000000000,7.85000000000000,0.21963382146682,0.69000000000000,0,0
119,,paineira,-7.13423333333333,-34.84342222222220,2.61000000000000,6.85000000000000,0.17825353626292,0.56000000000000,0,0
120,34324,E,-7.13420833333333,-34.84330555555560,1.00000000000000,2.70000000000000,0.04456338406573,0.14000000000000,0,0
121,34326,E,-7.13426666666667,-34.84331666666670,1.40000000000000,2.10000000000000,0.02069014260195,0.06500000000000,1,0
122,34323,E,-7.13451388888889,-34.84325277777780,,1.60000000000000,0.03183098861838,0.10000000000000,0,0
123,34329,E,-7.13457777777778,-34.84321944444440,0.60000000000000,2.00000000000000,0.04615493349665,0.14500000000000,0,0